Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
10,Ensure Administrative accounts are separate and cloud-only,Completed,2.6 / 3,3%,Identity,Microsoft Entra ID,Yes,No,A. Datum Legal,aad_admin_accounts_separate_unassigned_cloud_only,"Small legal firm posture: MFA gaps, mail hygiene drift, and guest access debt."
10,Ensure the admin consent workflow is enabled,To address,0.83 / 5,5%,Identity,Microsoft Entra ID,Yes,No,A. Datum Legal,aad_admin_consent_workflow,"Small legal firm posture: MFA gaps, mail hygiene drift, and guest access debt."
10,Ensure custom banned passwords lists are used,Planned,3.32 / 5,5%,Identity,Microsoft Entra ID,Yes,No,A. Datum Legal,aad_custom_banned_passwords,"Small legal firm posture: MFA gaps, mail hygiene drift, and guest access debt."
10,Ensure 'Microsoft Azure Management' is limited to administrative roles,To address,0.13 / 3,3%,Identity,Microsoft Entra ID,Yes,No,A. Datum Legal,aad_limited_administrative_roles,"Small legal firm posture: MFA gaps, mail hygiene drift, and guest access debt."
10,Ensure 'LinkedIn account connections' is disabled,To address,0.9 / 3,3%,Identity,Microsoft Entra ID,Yes,No,A. Datum Legal,aad_linkedin_connection_disables,"Small legal firm posture: MFA gaps, mail hygiene drift, and guest access debt."
10,Ensure that only organizationally managed/approved public groups exist,Planned,1.07 / 3,3%,Identity,Microsoft Entra ID,Yes,No,A. Datum Legal,aad_managed_approved_public_groups_only,"Small legal firm posture: MFA gaps, mail hygiene drift, and guest access debt."
10,Ensure password protection is enabled for on-prem Active Directory,Planned,2.99 / 6,6%,Identity,Microsoft Entra ID,No,No,A. Datum Legal,aad_password_protection,"Small legal firm posture: MFA gaps, mail hygiene drift, and guest access debt."
10,Ensure 'Phishing-resistant MFA strength' is required for Administrators,Planned,3.16 / 7,7%,Identity,Microsoft Entra ID,Yes,No,A. Datum Legal,aad_phishing_MFA_strength,"Small legal firm posture: MFA gaps, mail hygiene drift, and guest access debt."
10,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,Completed,4.51 / 5,5%,Identity,Microsoft Entra ID,Yes,No,A. Datum Legal,aad_sign_in_freq_session_timeout,"Small legal firm posture: MFA gaps, mail hygiene drift, and guest access debt."
10,Ensure third party integrated applications are not allowed,Planned,3.14 / 5,5%,Identity,Microsoft Entra ID,Yes,No,A. Datum Legal,aad_third_party_apps,"Small legal firm posture: MFA gaps, mail hygiene drift, and guest access debt."
