Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
10,Ensure Administrative accounts are separate and cloud-only,To address,0.51 / 3,3%,Identity,Microsoft Entra ID,No,No,MSP Chaos Lab,aad_admin_accounts_separate_unassigned_cloud_only,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
10,Ensure the admin consent workflow is enabled,Planned,2.17 / 5,5%,Identity,Microsoft Entra ID,No,No,MSP Chaos Lab,aad_admin_consent_workflow,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
10,Ensure custom banned passwords lists are used,To address,0.16 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,aad_custom_banned_passwords,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
10,Ensure 'Microsoft Azure Management' is limited to administrative roles,Planned,1.71 / 3,3%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,aad_limited_administrative_roles,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
10,Ensure 'LinkedIn account connections' is disabled,To address,0 / 3,3%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,aad_linkedin_connection_disables,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
10,Ensure that only organizationally managed/approved public groups exist,To address,0 / 3,3%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,aad_managed_approved_public_groups_only,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
10,Ensure password protection is enabled for on-prem Active Directory,To address,0 / 6,6%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,aad_password_protection,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
10,Ensure 'Phishing-resistant MFA strength' is required for Administrators,To address,0 / 7,7%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,aad_phishing_MFA_strength,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
10,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,Planned,2.55 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,aad_sign_in_freq_session_timeout,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
10,Ensure third party integrated applications are not allowed,To address,0.48 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,aad_third_party_apps,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Locate accounts in built-in Operator Groups,Planned,4.13 / 8,8%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_AccountsInOperatorGroups,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Accounts with non-default Primary Group ID,Planned,3.7 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_AccountsWithNonDefaultPrimaryGroup,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Change password for accounts with leaked credentials,To address,0.82 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_AccountWithLeakedCredentials,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Change password for on-prem account with potentially leaked credentials,To address,1.2 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_AdAccountWithPotentiallyLeakedCredentials,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Prevent Certificate Enrollment with arbitrary Application Policies (ESC15),To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,MSP Chaos Lab,AATP_ADCSCertificateTemplateArbitraryAppPolicies,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Prevent users to request a certificate valid for arbitrary users based on the certificate template (ESC1),To address,0 / 5,5%,Identity,Microsoft Entra ID,No,Yes,MSP Chaos Lab,AATP_ADCSCertificateTemplateEnrolementSuppliesSubject,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Install Defender for Identity Sensor on ADCS servers,To address,0 / 4,4%,Identity,Microsoft Entra ID,No,Yes,MSP Chaos Lab,AATP_AdcsComputersWithNoMdiSensorInstalled,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Edit insecure certificate enrollment IIS endpoints (ESC8),To address,0.53 / 5,5%,Identity,Microsoft Intune,Yes,No,MSP Chaos Lab,AATP_ADCSInsecureCertificateEnrollmentIisEndpoints,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Edit misconfigured Certificate Authority ACL (ESC7),Planned,2.18 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,MSP Chaos Lab,AATP_ADCSMisconfiguredCertificateAuthorityAcl,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Edit misconfigured certificate templates ACL (ESC4),To address,1.51 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_ADCSMisconfiguredCertificateTemplateAcl,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
60,Edit overly permissive Certificate Template with privileged EKU (Any purpose EKU or No EKU) (ESC2),Planned,1.77 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_ADCSMisconfiguredCertificateTemplateEku,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Edit misconfigured enrollment agent certificate template (ESC3),To address,0.19 / 5,5%,Identity,Microsoft Entra ID,No,No,MSP Chaos Lab,AATP_ADCSMisconfiguredCertificateTemplateEnrollmentAgent,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Edit misconfigured certificate templates owner (ESC4),To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,MSP Chaos Lab,AATP_ADCSMisconfiguredCertificateTemplateOwner,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Enforce encryption for RPC certificate enrollment interface (ESC8),To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_ADCSMisconfiguredRpcEnrollmentSigning,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Edit vulnerable Certificate Authority setting (ESC6),To address,0.17 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_ADCSSanSpecifiedByUserEnabled,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Install Defender for Identity Sensor on ADFS servers,To address,0.39 / 4,4%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_AdfsComputersWithNoMdiSensorInstalled,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
67,Remove access rights on suspicious accounts with the Admin SDHolder permission,Planned,2.91 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_AdminSDHolder,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Change password for Entra seamless SSO account,Planned,2.82 / 5,5%,Identity,Microsoft Entra ID,No,Yes,MSP Chaos Lab,AATP_AzureSsoAccountOldPasswords,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Change password of built-in domain Administrator account,Planned,3.83 / 5,5%,Identity,Microsoft Entra ID,No,No,MSP Chaos Lab,AATP_BuiltinAdministratorAccountWithOldPassword,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Built-in Active Directory Guest account is enabled,Planned,2.47 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_BuiltinGuestAccountIsEnabled,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Change password for krbtgt account,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_BuiltinKrbtgtAccountWithOldPassword,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
67,Stop clear text credentials exposure,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_ClearText,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
65,Remove stale CyberArk Identity privileged accounts,To address,0.76 / 5,5%,Identity,Microsoft Entra ID,Yes,No,MSP Chaos Lab,AATP_CyberArk_DormantPriviledgedAccounts,"Everything we have all seen at 02:00: exclusions, stale accounts, mail rules, and hope."
