Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
10,Ensure Administrative accounts are separate and cloud-only,Completed,2.76 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,aad_admin_accounts_separate_unassigned_cloud_only,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure the admin consent workflow is enabled,Completed,4.74 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,aad_admin_consent_workflow,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure custom banned passwords lists are used,To address,0.03 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,aad_custom_banned_passwords,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure 'Microsoft Azure Management' is limited to administrative roles,Completed,2.78 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,aad_limited_administrative_roles,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure 'LinkedIn account connections' is disabled,Completed,2.86 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,aad_linkedin_connection_disables,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure that only organizationally managed/approved public groups exist,Planned,2.43 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,aad_managed_approved_public_groups_only,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure password protection is enabled for on-prem Active Directory,Planned,4.61 / 6,6%,Identity,Microsoft Entra ID,Yes,Yes,Northwind Finance,aad_password_protection,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure 'Phishing-resistant MFA strength' is required for Administrators,Completed,6.19 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,aad_phishing_MFA_strength,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,Completed,4.7 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,aad_sign_in_freq_session_timeout,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure third party integrated applications are not allowed,Completed,4.75 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,aad_third_party_apps,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Locate accounts in built-in Operator Groups,Completed,7.44 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_AccountsInOperatorGroups,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Accounts with non-default Primary Group ID,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_AccountsWithNonDefaultPrimaryGroup,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Change password for accounts with leaked credentials,Completed,4.38 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_AccountWithLeakedCredentials,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Change password for on-prem account with potentially leaked credentials,To address,1.46 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_AdAccountWithPotentiallyLeakedCredentials,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Prevent Certificate Enrollment with arbitrary Application Policies (ESC15),Completed,4.29 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ADCSCertificateTemplateArbitraryAppPolicies,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Prevent users to request a certificate valid for arbitrary users based on the certificate template (ESC1),Planned,3.97 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ADCSCertificateTemplateEnrolementSuppliesSubject,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Install Defender for Identity Sensor on ADCS servers,To address,1.15 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_AdcsComputersWithNoMdiSensorInstalled,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Edit insecure certificate enrollment IIS endpoints (ESC8),Completed,4.69 / 5,5%,Identity,Microsoft Intune,Yes,No,Northwind Finance,AATP_ADCSInsecureCertificateEnrollmentIisEndpoints,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Edit misconfigured Certificate Authority ACL (ESC7),Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ADCSMisconfiguredCertificateAuthorityAcl,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Edit misconfigured certificate templates ACL (ESC4),Completed,4.84 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ADCSMisconfiguredCertificateTemplateAcl,Strong governance with a few legacy exceptions and pending collaboration controls.
60,Edit overly permissive Certificate Template with privileged EKU (Any purpose EKU or No EKU) (ESC2),Completed,4.86 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ADCSMisconfiguredCertificateTemplateEku,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Edit misconfigured enrollment agent certificate template (ESC3),Completed,4.61 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ADCSMisconfiguredCertificateTemplateEnrollmentAgent,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Edit misconfigured certificate templates owner (ESC4),Planned,4.1 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ADCSMisconfiguredCertificateTemplateOwner,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Enforce encryption for RPC certificate enrollment interface (ESC8),Completed,4.2 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ADCSMisconfiguredRpcEnrollmentSigning,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Edit vulnerable Certificate Authority setting (ESC6),Completed,4.76 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ADCSSanSpecifiedByUserEnabled,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Install Defender for Identity Sensor on ADFS servers,Completed,3.69 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_AdfsComputersWithNoMdiSensorInstalled,Strong governance with a few legacy exceptions and pending collaboration controls.
67,Remove access rights on suspicious accounts with the Admin SDHolder permission,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_AdminSDHolder,Strong governance with a few legacy exceptions and pending collaboration controls.
