Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
10,Ensure Administrative accounts are separate and cloud-only,To address,0.34 / 3,3%,Identity,Microsoft Entra ID,Yes,Yes,Tailspin Education,aad_admin_accounts_separate_unassigned_cloud_only,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
10,Ensure the admin consent workflow is enabled,Completed,4.47 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,aad_admin_consent_workflow,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
10,Ensure custom banned passwords lists are used,Planned,2.24 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Tailspin Education,aad_custom_banned_passwords,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
10,Ensure 'Microsoft Azure Management' is limited to administrative roles,Planned,1.71 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,aad_limited_administrative_roles,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
10,Ensure 'LinkedIn account connections' is disabled,To address,0.67 / 3,3%,Identity,Microsoft Entra ID,Yes,Yes,Tailspin Education,aad_linkedin_connection_disables,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
10,Ensure that only organizationally managed/approved public groups exist,To address,0.75 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,aad_managed_approved_public_groups_only,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
10,Ensure password protection is enabled for on-prem Active Directory,To address,1.99 / 6,6%,Identity,Microsoft Entra ID,No,No,Tailspin Education,aad_password_protection,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
10,Ensure 'Phishing-resistant MFA strength' is required for Administrators,To address,0.79 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,aad_phishing_MFA_strength,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
10,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,To address,1.68 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,aad_sign_in_freq_session_timeout,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
10,Ensure third party integrated applications are not allowed,Planned,2.14 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,aad_third_party_apps,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Locate accounts in built-in Operator Groups,Completed,6.6 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_AccountsInOperatorGroups,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Accounts with non-default Primary Group ID,Planned,2.11 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_AccountsWithNonDefaultPrimaryGroup,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Change password for accounts with leaked credentials,Planned,2.4 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_AccountWithLeakedCredentials,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Change password for on-prem account with potentially leaked credentials,To address,0.99 / 5,5%,Identity,Microsoft Entra ID,No,No,Tailspin Education,AATP_AdAccountWithPotentiallyLeakedCredentials,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Prevent Certificate Enrollment with arbitrary Application Policies (ESC15),To address,1.63 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_ADCSCertificateTemplateArbitraryAppPolicies,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Prevent users to request a certificate valid for arbitrary users based on the certificate template (ESC1),To address,0.68 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_ADCSCertificateTemplateEnrolementSuppliesSubject,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Install Defender for Identity Sensor on ADCS servers,To address,0.11 / 4,4%,Identity,Microsoft Entra ID,Yes,Yes,Tailspin Education,AATP_AdcsComputersWithNoMdiSensorInstalled,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Edit insecure certificate enrollment IIS endpoints (ESC8),To address,0.08 / 5,5%,Identity,Microsoft Intune,Yes,No,Tailspin Education,AATP_ADCSInsecureCertificateEnrollmentIisEndpoints,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Edit misconfigured Certificate Authority ACL (ESC7),Planned,3.12 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_ADCSMisconfiguredCertificateAuthorityAcl,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Edit misconfigured certificate templates ACL (ESC4),Planned,3.04 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_ADCSMisconfiguredCertificateTemplateAcl,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
60,Edit overly permissive Certificate Template with privileged EKU (Any purpose EKU or No EKU) (ESC2),Planned,3.85 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_ADCSMisconfiguredCertificateTemplateEku,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Edit misconfigured enrollment agent certificate template (ESC3),Planned,1.85 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_ADCSMisconfiguredCertificateTemplateEnrollmentAgent,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Edit misconfigured certificate templates owner (ESC4),To address,0.04 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_ADCSMisconfiguredCertificateTemplateOwner,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Enforce encryption for RPC certificate enrollment interface (ESC8),To address,0.41 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_ADCSMisconfiguredRpcEnrollmentSigning,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Edit vulnerable Certificate Authority setting (ESC6),To address,0.26 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_ADCSSanSpecifiedByUserEnabled,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Install Defender for Identity Sensor on ADFS servers,To address,1.11 / 4,4%,Identity,Microsoft Entra ID,No,Yes,Tailspin Education,AATP_AdfsComputersWithNoMdiSensorInstalled,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
67,Remove access rights on suspicious accounts with the Admin SDHolder permission,To address,1.12 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Tailspin Education,AATP_AdminSDHolder,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Change password for Entra seamless SSO account,To address,0.56 / 5,5%,Identity,Microsoft Entra ID,No,No,Tailspin Education,AATP_AzureSsoAccountOldPasswords,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Change password of built-in domain Administrator account,Completed,4.43 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_BuiltinAdministratorAccountWithOldPassword,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Built-in Active Directory Guest account is enabled,To address,1.22 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_BuiltinGuestAccountIsEnabled,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Change password for krbtgt account,Planned,2.1 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_BuiltinKrbtgtAccountWithOldPassword,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
67,Stop clear text credentials exposure,To address,0.25 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_ClearText,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Remove stale CyberArk Identity privileged accounts,To address,0.39 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Tailspin Education,AATP_CyberArk_DormantPriviledgedAccounts,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,High number of CyberArk Identity accounts with a privileged role assigned,To address,0.52 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_CyberArk_HighNumberOfPriviledgedIdentityAccounts,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Limit the number of CyberArk Identity accounts with system admin role,To address,1.53 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_CyberArk_HighNumberOfSystemAdmins,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Change password for CyberArk Identity privileged User accounts,Planned,2.73 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_CyberArk_PriviledgedUserAccountsWithOldPasswords,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
59,"Start your Defender for Identity deployment, installing Sensors on Domain Controllers and other eligible servers.",Planned,4.08 / 5,5%,Identity,Microsoft Entra ID,No,No,Tailspin Education,AATP_DefenderForIdentityIsNotInstalled,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Unsafe permissions on the DnsAdmins group,Completed,6.81 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_DnsAdminsGroupWithUnsafePermissions,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Remove local admins on identity assets,Planned,2.58 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_DomainControllerLocalUsers,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Change Domain Controller computer account old password,To address,1.31 / 5,5%,Identity,Microsoft Entra ID,No,No,Tailspin Education,AATP_DomainControllersWithOldPassword,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
67,Remove dormant accounts from sensitive groups,Planned,2 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_DormantAccounts,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Rotate password for Entra Connect AD DS Connector account,To address,0.92 / 3,3%,Identity,Microsoft Entra ID,No,Yes,Tailspin Education,AATP_EntraConnectAccountsOldPasswords,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Replace Enterprise or Domain Admin account for Entra Connect AD DS Connector account,To address,0.85 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_EntraConnectAccountsWithConnectorAccountAsDefaultAdmin,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Remove unnecessary replication permissions for Entra Connect AD DS Connector Account,To address,2.27 / 8,8%,Identity,Microsoft Entra ID,Yes,Yes,Tailspin Education,AATP_EntraConnectAccountUnnecessaryReplicationPermission,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Install Defender for Identity Sensor on Entra Connect servers,Planned,2.92 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_EntraConnectComputersWithNoMdiSensorInstalled,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Remove unsafe permissions on sensitive Entra Connect accounts,To address,1.42 / 9,9%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_EntraConnectSensitiveAccountsWithUnsafePermissions,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Remove discoverable passwords in Active Directory account attributes,Planned,3.57 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_ExposedPasswordsInADAttributes,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Set a valid password rotation interval for gMSA,To address,0.94 / 6,6%,Identity,Microsoft Entra ID,Yes,Yes,Tailspin Education,AATP_GroupManagedServiceAccountWithUnrecommendedPasswordChangeInterval,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,GPO can be modified by unprivileged accounts,Planned,2.06 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_GroupPolicyAbnormalModificationAssignment,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,GPO assigns unprivileged identities to local groups with elevated privileges,To address,1.91 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_GroupPolicyAssignsUnprivilegedIdentitiesToElevatedLocalGroups,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Reversible passwords found in GPOs,To address,0.12 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_GroupPolicyPasswordInPreferences,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
61,Set a honeytoken account,To address,0 / 1,1%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_HoneyToken,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Remove stale service accounts,Planned,2.75 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_InactiveServiceAccounts,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
67,Modify unsecure Kerberos delegations to prevent impersonation,Planned,3.59 / 5,5%,Identity,Microsoft Entra ID,No,No,Tailspin Education,AATP_KerberosDelegations,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
66,Remove non-admin accounts with DCSync permissions,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_NonAdminDCSyncAccounts,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Remove dormant Okta privileged accounts,To address,0.51 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_Okta_Dormant,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,High number of Okta accounts with privileged role assigned,Planned,3.08 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_Okta_HighNumberOfNonSuperAdminPrivilegedUserAccounts,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Limit the Number of Okta Super Admins Accounts,Planned,2.72 / 5,5%,Identity,Microsoft Entra ID,No,No,Tailspin Education,AATP_Okta_HighNumberOfSuperAdmins,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Change password for Okta privileged User accounts,To address,1.72 / 6,6%,Identity,Microsoft Entra ID,No,Yes,Tailspin Education,AATP_Okta_SensitiveAccountWithOldPassword,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Assign multi-factor authentication for Okta privileged user accounts,To address,0.09 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_Okta_SensitiveAccountWithoutFactorsAssigned,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Highly Privileged Okta Api Token,To address,1.57 / 5,5%,Identity,Microsoft Entra ID,No,Yes,Tailspin Education,AATP_Okta_SensitiveApiToken,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
67,Reduce lateral movement path risk to sensitive entities,Planned,2.76 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_PathRisk,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Remove stale PingOne privileged accounts,Planned,3.82 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Tailspin Education,AATP_Ping_Dormant,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,High number of PingOne accounts with a privileged role assigned,Planned,2.44 / 5,5%,Identity,Microsoft Entra ID,No,No,Tailspin Education,AATP_Ping_HighNumberOfNonSuperAdminPrivilegedUserAccounts,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Limit the number of PingOne accounts with organization admin role,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_Ping_HighNumberOfSuperAdmins,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Change password for PingOne privileged User accounts,Planned,3.84 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_Ping_SensitiveAccountWithOldPassword,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Assign multi-factor authentication for PingOne privileged user accounts,To address,0.1 / 5,5%,Identity,Microsoft Entra ID,No,No,Tailspin Education,AATP_Ping_SensitiveAccountWithoutFactorsAssigned,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
67,Disable Print spooler service on domain controllers,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_PrintSpooler,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Ensure privileged accounts are not delegated,To address,1.6 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_PrivilegedAccountsWithDelegationAllowed,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Identify Entra ID privileged accounts that are also privileged in Active Directory,Planned,4.04 / 9,9%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_PrivilegedEntraIdAndActiveDirectoryAccounts,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
67,Protect and manage local admin passwords with Microsoft LAPS,To address,0.26 / 5,5%,Identity,Microsoft Entra ID,No,No,Tailspin Education,AATP_PwdLAPS,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Remove stale SailPoint privileged accounts,Planned,1.91 / 5,5%,Identity,Microsoft Entra ID,No,No,Tailspin Education,AATP_SailPoint_DormantPriviledgedAccounts,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,High number of SailPoint accounts with a privileged role assigned,Planned,1.86 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_SailPoint_HighNumberOfPriviledgedIdentityAccounts,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
65,Limit the number of SailPoint accounts with system admin role,Planned,4.07 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Tailspin Education,AATP_SailPoint_HighNumberOfSystemAdmins,"Education-style sprawl: guests, old devices, and collaboration policies all over the place."
