Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
10,Ensure Administrative accounts are separate and cloud-only,Completed,2.46 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Wingtip Retail,aad_admin_accounts_separate_unassigned_cloud_only,"Retail tenant with seasonal accounts, permissive sharing, and partial endpoint controls."
10,Ensure the admin consent workflow is enabled,Planned,3.32 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Wingtip Retail,aad_admin_consent_workflow,"Retail tenant with seasonal accounts, permissive sharing, and partial endpoint controls."
10,Ensure custom banned passwords lists are used,Planned,2.33 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Wingtip Retail,aad_custom_banned_passwords,"Retail tenant with seasonal accounts, permissive sharing, and partial endpoint controls."
10,Ensure 'Microsoft Azure Management' is limited to administrative roles,Planned,2.06 / 3,3%,Identity,Microsoft Entra ID,No,No,Wingtip Retail,aad_limited_administrative_roles,"Retail tenant with seasonal accounts, permissive sharing, and partial endpoint controls."
10,Ensure 'LinkedIn account connections' is disabled,Planned,1.73 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Wingtip Retail,aad_linkedin_connection_disables,"Retail tenant with seasonal accounts, permissive sharing, and partial endpoint controls."
10,Ensure that only organizationally managed/approved public groups exist,To address,0.68 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Wingtip Retail,aad_managed_approved_public_groups_only,"Retail tenant with seasonal accounts, permissive sharing, and partial endpoint controls."
10,Ensure password protection is enabled for on-prem Active Directory,To address,0.34 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Wingtip Retail,aad_password_protection,"Retail tenant with seasonal accounts, permissive sharing, and partial endpoint controls."
10,Ensure 'Phishing-resistant MFA strength' is required for Administrators,Planned,3.25 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Wingtip Retail,aad_phishing_MFA_strength,"Retail tenant with seasonal accounts, permissive sharing, and partial endpoint controls."
10,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,Planned,2.8 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Wingtip Retail,aad_sign_in_freq_session_timeout,"Retail tenant with seasonal accounts, permissive sharing, and partial endpoint controls."
10,Ensure third party integrated applications are not allowed,To address,0.99 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Wingtip Retail,aad_third_party_apps,"Retail tenant with seasonal accounts, permissive sharing, and partial endpoint controls."
65,Locate accounts in built-in Operator Groups,Planned,5.69 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Wingtip Retail,AATP_AccountsInOperatorGroups,"Retail tenant with seasonal accounts, permissive sharing, and partial endpoint controls."
