Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
10,Ensure Administrative accounts are separate and cloud-only,Completed,3 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,aad_admin_accounts_separate_unassigned_cloud_only,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
10,Ensure the admin consent workflow is enabled,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,aad_admin_consent_workflow,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
10,Ensure custom banned passwords lists are used,Completed,4.96 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,aad_custom_banned_passwords,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
10,Ensure 'Microsoft Azure Management' is limited to administrative roles,Completed,3 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,aad_limited_administrative_roles,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
10,Ensure 'LinkedIn account connections' is disabled,Completed,2.89 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,aad_linkedin_connection_disables,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
10,Ensure that only organizationally managed/approved public groups exist,Completed,2.88 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,aad_managed_approved_public_groups_only,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
10,Ensure password protection is enabled for on-prem Active Directory,Completed,5.9 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,aad_password_protection,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
10,Ensure 'Phishing-resistant MFA strength' is required for Administrators,Completed,7 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,aad_phishing_MFA_strength,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
10,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,aad_sign_in_freq_session_timeout,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
10,Ensure third party integrated applications are not allowed,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,aad_third_party_apps,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
65,Locate accounts in built-in Operator Groups,Completed,8 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,AATP_AccountsInOperatorGroups,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
65,Accounts with non-default Primary Group ID,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,AATP_AccountsWithNonDefaultPrimaryGroup,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
65,Change password for accounts with leaked credentials,Completed,4.99 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,AATP_AccountWithLeakedCredentials,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
65,Change password for on-prem account with potentially leaked credentials,Completed,4.93 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Golden Tenant,AATP_AdAccountWithPotentiallyLeakedCredentials,"Reference posture: disciplined identity, endpoint, mail, collaboration, and data controls."
