Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
10,Ensure Administrative accounts are separate and cloud-only,Completed,3 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Fabrikam Health,aad_admin_accounts_separate_unassigned_cloud_only,"Regulated tenant with good intent, mixed licensing, and slow remediation queues."
10,Ensure the admin consent workflow is enabled,To address,0.18 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Fabrikam Health,aad_admin_consent_workflow,"Regulated tenant with good intent, mixed licensing, and slow remediation queues."
10,Ensure custom banned passwords lists are used,To address,0.75 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Fabrikam Health,aad_custom_banned_passwords,"Regulated tenant with good intent, mixed licensing, and slow remediation queues."
10,Ensure 'Microsoft Azure Management' is limited to administrative roles,Planned,1.98 / 3,3%,Identity,Microsoft Entra ID,Yes,Yes,Fabrikam Health,aad_limited_administrative_roles,"Regulated tenant with good intent, mixed licensing, and slow remediation queues."
10,Ensure 'LinkedIn account connections' is disabled,Planned,1.37 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Fabrikam Health,aad_linkedin_connection_disables,"Regulated tenant with good intent, mixed licensing, and slow remediation queues."
10,Ensure that only organizationally managed/approved public groups exist,Planned,1.6 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Fabrikam Health,aad_managed_approved_public_groups_only,"Regulated tenant with good intent, mixed licensing, and slow remediation queues."
10,Ensure password protection is enabled for on-prem Active Directory,Planned,2.81 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Fabrikam Health,aad_password_protection,"Regulated tenant with good intent, mixed licensing, and slow remediation queues."
10,Ensure 'Phishing-resistant MFA strength' is required for Administrators,Planned,4.7 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Fabrikam Health,aad_phishing_MFA_strength,"Regulated tenant with good intent, mixed licensing, and slow remediation queues."
10,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,To address,0.14 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Fabrikam Health,aad_sign_in_freq_session_timeout,"Regulated tenant with good intent, mixed licensing, and slow remediation queues."
10,Ensure third party integrated applications are not allowed,Planned,3.53 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Fabrikam Health,aad_third_party_apps,"Regulated tenant with good intent, mixed licensing, and slow remediation queues."
65,Locate accounts in built-in Operator Groups,Completed,6.97 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Fabrikam Health,AATP_AccountsInOperatorGroups,"Regulated tenant with good intent, mixed licensing, and slow remediation queues."
