Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
10,Ensure Administrative accounts are separate and cloud-only,Planned,1.35 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,aad_admin_accounts_separate_unassigned_cloud_only,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure the admin consent workflow is enabled,Planned,3.92 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,aad_admin_consent_workflow,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure custom banned passwords lists are used,To address,1.02 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,aad_custom_banned_passwords,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure 'Microsoft Azure Management' is limited to administrative roles,Planned,1.9 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,aad_limited_administrative_roles,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure 'LinkedIn account connections' is disabled,To address,0.09 / 3,3%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,aad_linkedin_connection_disables,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure that only organizationally managed/approved public groups exist,To address,0 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,aad_managed_approved_public_groups_only,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure password protection is enabled for on-prem Active Directory,To address,0 / 6,6%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,aad_password_protection,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure 'Phishing-resistant MFA strength' is required for Administrators,To address,0 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,aad_phishing_MFA_strength,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,Planned,2.24 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,aad_sign_in_freq_session_timeout,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure third party integrated applications are not allowed,Planned,2.59 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,aad_third_party_apps,Budget-constrained tenant with licenses missing and security controls deferred.
65,Locate accounts in built-in Operator Groups,To address,2.51 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_AccountsInOperatorGroups,Budget-constrained tenant with licenses missing and security controls deferred.
65,Accounts with non-default Primary Group ID,Planned,1.87 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_AccountsWithNonDefaultPrimaryGroup,Budget-constrained tenant with licenses missing and security controls deferred.
65,Change password for accounts with leaked credentials,To address,0.05 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_AccountWithLeakedCredentials,Budget-constrained tenant with licenses missing and security controls deferred.
65,Change password for on-prem account with potentially leaked credentials,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_AdAccountWithPotentiallyLeakedCredentials,Budget-constrained tenant with licenses missing and security controls deferred.
65,Prevent Certificate Enrollment with arbitrary Application Policies (ESC15),Planned,2.25 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_ADCSCertificateTemplateArbitraryAppPolicies,Budget-constrained tenant with licenses missing and security controls deferred.
65,Prevent users to request a certificate valid for arbitrary users based on the certificate template (ESC1),To address,0 / 5,5%,Identity,Microsoft Entra ID,No,Yes,Blue Yonder Nonprofit,AATP_ADCSCertificateTemplateEnrolementSuppliesSubject,Budget-constrained tenant with licenses missing and security controls deferred.
65,Install Defender for Identity Sensor on ADCS servers,Planned,1.49 / 4,4%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_AdcsComputersWithNoMdiSensorInstalled,Budget-constrained tenant with licenses missing and security controls deferred.
65,Edit insecure certificate enrollment IIS endpoints (ESC8),Planned,2.39 / 5,5%,Identity,Microsoft Intune,Yes,Yes,Blue Yonder Nonprofit,AATP_ADCSInsecureCertificateEnrollmentIisEndpoints,Budget-constrained tenant with licenses missing and security controls deferred.
65,Edit misconfigured Certificate Authority ACL (ESC7),Planned,2.59 / 5,5%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_ADCSMisconfiguredCertificateAuthorityAcl,Budget-constrained tenant with licenses missing and security controls deferred.
65,Edit misconfigured certificate templates ACL (ESC4),Planned,3.85 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_ADCSMisconfiguredCertificateTemplateAcl,Budget-constrained tenant with licenses missing and security controls deferred.
60,Edit overly permissive Certificate Template with privileged EKU (Any purpose EKU or No EKU) (ESC2),Planned,1.72 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_ADCSMisconfiguredCertificateTemplateEku,Budget-constrained tenant with licenses missing and security controls deferred.
65,Edit misconfigured enrollment agent certificate template (ESC3),Planned,2.06 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_ADCSMisconfiguredCertificateTemplateEnrollmentAgent,Budget-constrained tenant with licenses missing and security controls deferred.
65,Edit misconfigured certificate templates owner (ESC4),To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_ADCSMisconfiguredCertificateTemplateOwner,Budget-constrained tenant with licenses missing and security controls deferred.
65,Enforce encryption for RPC certificate enrollment interface (ESC8),To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_ADCSMisconfiguredRpcEnrollmentSigning,Budget-constrained tenant with licenses missing and security controls deferred.
65,Edit vulnerable Certificate Authority setting (ESC6),To address,0.72 / 5,5%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_ADCSSanSpecifiedByUserEnabled,Budget-constrained tenant with licenses missing and security controls deferred.
65,Install Defender for Identity Sensor on ADFS servers,To address,1.14 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_AdfsComputersWithNoMdiSensorInstalled,Budget-constrained tenant with licenses missing and security controls deferred.
67,Remove access rights on suspicious accounts with the Admin SDHolder permission,To address,0.05 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_AdminSDHolder,Budget-constrained tenant with licenses missing and security controls deferred.
65,Change password for Entra seamless SSO account,To address,1.15 / 5,5%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_AzureSsoAccountOldPasswords,Budget-constrained tenant with licenses missing and security controls deferred.
65,Change password of built-in domain Administrator account,To address,0.66 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_BuiltinAdministratorAccountWithOldPassword,Budget-constrained tenant with licenses missing and security controls deferred.
65,Built-in Active Directory Guest account is enabled,Planned,2.91 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_BuiltinGuestAccountIsEnabled,Budget-constrained tenant with licenses missing and security controls deferred.
65,Change password for krbtgt account,To address,0.07 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_BuiltinKrbtgtAccountWithOldPassword,Budget-constrained tenant with licenses missing and security controls deferred.
67,Stop clear text credentials exposure,To address,0.24 / 5,5%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_ClearText,Budget-constrained tenant with licenses missing and security controls deferred.
65,Remove stale CyberArk Identity privileged accounts,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_CyberArk_DormantPriviledgedAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
65,High number of CyberArk Identity accounts with a privileged role assigned,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_CyberArk_HighNumberOfPriviledgedIdentityAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
65,Limit the number of CyberArk Identity accounts with system admin role,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_CyberArk_HighNumberOfSystemAdmins,Budget-constrained tenant with licenses missing and security controls deferred.
65,Change password for CyberArk Identity privileged User accounts,To address,0.33 / 6,6%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_CyberArk_PriviledgedUserAccountsWithOldPasswords,Budget-constrained tenant with licenses missing and security controls deferred.
59,"Start your Defender for Identity deployment, installing Sensors on Domain Controllers and other eligible servers.",Planned,2.11 / 5,5%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_DefenderForIdentityIsNotInstalled,Budget-constrained tenant with licenses missing and security controls deferred.
65,Unsafe permissions on the DnsAdmins group,Planned,3.97 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_DnsAdminsGroupWithUnsafePermissions,Budget-constrained tenant with licenses missing and security controls deferred.
65,Remove local admins on identity assets,To address,0.59 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_DomainControllerLocalUsers,Budget-constrained tenant with licenses missing and security controls deferred.
65,Change Domain Controller computer account old password,To address,0.47 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_DomainControllersWithOldPassword,Budget-constrained tenant with licenses missing and security controls deferred.
67,Remove dormant accounts from sensitive groups,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_DormantAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
65,Rotate password for Entra Connect AD DS Connector account,To address,0 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_EntraConnectAccountsOldPasswords,Budget-constrained tenant with licenses missing and security controls deferred.
65,Replace Enterprise or Domain Admin account for Entra Connect AD DS Connector account,To address,0.1 / 3,3%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_EntraConnectAccountsWithConnectorAccountAsDefaultAdmin,Budget-constrained tenant with licenses missing and security controls deferred.
65,Remove unnecessary replication permissions for Entra Connect AD DS Connector Account,To address,1.84 / 8,8%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_EntraConnectAccountUnnecessaryReplicationPermission,Budget-constrained tenant with licenses missing and security controls deferred.
65,Install Defender for Identity Sensor on Entra Connect servers,To address,1.3 / 4,4%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_EntraConnectComputersWithNoMdiSensorInstalled,Budget-constrained tenant with licenses missing and security controls deferred.
65,Remove unsafe permissions on sensitive Entra Connect accounts,To address,1.07 / 9,9%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_EntraConnectSensitiveAccountsWithUnsafePermissions,Budget-constrained tenant with licenses missing and security controls deferred.
65,Remove discoverable passwords in Active Directory account attributes,Planned,5.04 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_ExposedPasswordsInADAttributes,Budget-constrained tenant with licenses missing and security controls deferred.
65,Set a valid password rotation interval for gMSA,To address,1.71 / 6,6%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_GroupManagedServiceAccountWithUnrecommendedPasswordChangeInterval,Budget-constrained tenant with licenses missing and security controls deferred.
65,GPO can be modified by unprivileged accounts,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_GroupPolicyAbnormalModificationAssignment,Budget-constrained tenant with licenses missing and security controls deferred.
65,GPO assigns unprivileged identities to local groups with elevated privileges,To address,0 / 7,7%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_GroupPolicyAssignsUnprivilegedIdentitiesToElevatedLocalGroups,Budget-constrained tenant with licenses missing and security controls deferred.
65,Reversible passwords found in GPOs,To address,0.35 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_GroupPolicyPasswordInPreferences,Budget-constrained tenant with licenses missing and security controls deferred.
61,Set a honeytoken account,To address,0.07 / 1,1%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_HoneyToken,Budget-constrained tenant with licenses missing and security controls deferred.
65,Remove stale service accounts,To address,0.7 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_InactiveServiceAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
67,Modify unsecure Kerberos delegations to prevent impersonation,To address,0.75 / 5,5%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_KerberosDelegations,Budget-constrained tenant with licenses missing and security controls deferred.
66,Remove non-admin accounts with DCSync permissions,To address,0.03 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_NonAdminDCSyncAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
65,Remove dormant Okta privileged accounts,Planned,2.41 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_Okta_Dormant,Budget-constrained tenant with licenses missing and security controls deferred.
65,High number of Okta accounts with privileged role assigned,To address,1.11 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_Okta_HighNumberOfNonSuperAdminPrivilegedUserAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
65,Limit the Number of Okta Super Admins Accounts,To address,0.58 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_Okta_HighNumberOfSuperAdmins,Budget-constrained tenant with licenses missing and security controls deferred.
65,Change password for Okta privileged User accounts,To address,1.21 / 6,6%,Identity,Microsoft Entra ID,No,Yes,Blue Yonder Nonprofit,AATP_Okta_SensitiveAccountWithOldPassword,Budget-constrained tenant with licenses missing and security controls deferred.
65,Assign multi-factor authentication for Okta privileged user accounts,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_Okta_SensitiveAccountWithoutFactorsAssigned,Budget-constrained tenant with licenses missing and security controls deferred.
65,Highly Privileged Okta Api Token,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_Okta_SensitiveApiToken,Budget-constrained tenant with licenses missing and security controls deferred.
67,Reduce lateral movement path risk to sensitive entities,To address,0.44 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_PathRisk,Budget-constrained tenant with licenses missing and security controls deferred.
65,Remove stale PingOne privileged accounts,To address,1.19 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_Ping_Dormant,Budget-constrained tenant with licenses missing and security controls deferred.
65,High number of PingOne accounts with a privileged role assigned,To address,1.05 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_Ping_HighNumberOfNonSuperAdminPrivilegedUserAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
65,Limit the number of PingOne accounts with organization admin role,To address,0.16 / 5,5%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_Ping_HighNumberOfSuperAdmins,Budget-constrained tenant with licenses missing and security controls deferred.
65,Change password for PingOne privileged User accounts,Planned,3.28 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_Ping_SensitiveAccountWithOldPassword,Budget-constrained tenant with licenses missing and security controls deferred.
65,Assign multi-factor authentication for PingOne privileged user accounts,To address,0.01 / 5,5%,Identity,Microsoft Entra ID,No,Yes,Blue Yonder Nonprofit,AATP_Ping_SensitiveAccountWithoutFactorsAssigned,Budget-constrained tenant with licenses missing and security controls deferred.
67,Disable Print spooler service on domain controllers,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_PrintSpooler,Budget-constrained tenant with licenses missing and security controls deferred.
65,Ensure privileged accounts are not delegated,To address,0.27 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_PrivilegedAccountsWithDelegationAllowed,Budget-constrained tenant with licenses missing and security controls deferred.
65,Identify Entra ID privileged accounts that are also privileged in Active Directory,To address,0 / 9,9%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_PrivilegedEntraIdAndActiveDirectoryAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
67,Protect and manage local admin passwords with Microsoft LAPS,Planned,2.72 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_PwdLAPS,Budget-constrained tenant with licenses missing and security controls deferred.
65,Remove stale SailPoint privileged accounts,To address,1.24 / 5,5%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_SailPoint_DormantPriviledgedAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
65,High number of SailPoint accounts with a privileged role assigned,To address,0.99 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_SailPoint_HighNumberOfPriviledgedIdentityAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
65,Limit the number of SailPoint accounts with system admin role,To address,0.39 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_SailPoint_HighNumberOfSystemAdmins,Budget-constrained tenant with licenses missing and security controls deferred.
65,Assign multi-factor authentication for SailPoint privileged user accounts,Planned,2.03 / 5,5%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,AATP_SailPoint_MFAforPriviledgedUserAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
65,Change password for SailPoint privileged User accounts,To address,0 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_SailPoint_PriviledgedUserAccountsWithOldPasswords,Budget-constrained tenant with licenses missing and security controls deferred.
60,Install Defender for Identity Sensor on all Domain Controllers,To address,0 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_Sensor,Budget-constrained tenant with licenses missing and security controls deferred.
65,Identify service accounts in privileged groups,To address,1.15 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_ServiceAccountsInPrivilegedGroup,Budget-constrained tenant with licenses missing and security controls deferred.
67,Remove unsecure SID history attributes from entities,To address,0.1 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_SIDHistory,Budget-constrained tenant with licenses missing and security controls deferred.
65,Rotate old password for sMSA and set up valid rotation interval in the GPO,To address,0.03 / 6,6%,Identity,Microsoft Entra ID,No,Yes,Blue Yonder Nonprofit,AATP_SingleManagedServiceAccountsWithOldPassword,Budget-constrained tenant with licenses missing and security controls deferred.
65,Remove stale Active Directory accounts,Planned,1.99 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_StaleAccounts,Budget-constrained tenant with licenses missing and security controls deferred.
67,Resolve unsecure account attributes,Planned,3.23 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_UnsecureAccount,Budget-constrained tenant with licenses missing and security controls deferred.
60,Resolve unsecure domain configurations,To address,1.41 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_UnsecureDomain,Budget-constrained tenant with licenses missing and security controls deferred.
63,Configure VPN integration,Planned,0.5 / 1,1%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,AATP_Vpn,Budget-constrained tenant with licenses missing and security controls deferred.
67,Stop weak cipher usage,Planned,1.87 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AATP_WeakCipher,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure 'User owned apps and services' is restricted,To address,0.21 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,admincenter_owned_apps_and_services,Budget-constrained tenant with licenses missing and security controls deferred.
1,Ensure multifactor authentication is enabled for all users in administrative roles,To address,0 / 10,10%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,AdminMFAV2,Budget-constrained tenant with licenses missing and security controls deferred.
9,Regulate cloud app access to sensitive data,To address,0 / 7,7%,Apps,AppG,Yes,No,Blue Yonder Nonprofit,AppG_regulate_access_to_sensitive_data,Budget-constrained tenant with licenses missing and security controls deferred.
10,Regulate apps with priority account consent,To address,1.36 / 7,7%,Apps,AppG,Yes,No,Blue Yonder Nonprofit,AppG_unusual_activity_with_priority_account,Budget-constrained tenant with licenses missing and security controls deferred.
68,Enable Conditional Access policies to block legacy authentication,Planned,4.14 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,BlockLegacyAuthentication,Budget-constrained tenant with licenses missing and security controls deferred.
127,Ensure the customer lockbox feature is enabled,Planned,0.61 / 1,1%,Apps,Exchange Online,Yes,No,Blue Yonder Nonprofit,CustomerLockBoxEnabled,Budget-constrained tenant with licenses missing and security controls deferred.
128,Ensure DLP policies are enabled,To address,0.15 / 5,5%,Data,MIP,Yes,Yes,Blue Yonder Nonprofit,dlp_datalossprevention,Budget-constrained tenant with licenses missing and security controls deferred.
128,Ensure 'External sharing' of calendars is not available,To address,0.31 / 5,5%,Apps,Exchange Online,Yes,Yes,Blue Yonder Nonprofit,exo_individualsharing,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure mailbox auditing for all users is Enabled,To address,0.46 / 3,3%,Apps,Exchange Online,Yes,No,Blue Yonder Nonprofit,exo_mailboxaudit,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure MailTips are enabled for end users,To address,0.03 / 3,3%,Apps,Exchange Online,Yes,No,Blue Yonder Nonprofit,exo_mailtipsenabled,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure modern authentication for Exchange Online is enabled,To address,0.54 / 3,3%,Identity,Exchange Online,Yes,No,Blue Yonder Nonprofit,exo_oauth2clientprofileenabled,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure users installing Outlook add-ins is not allowed,To address,0.3 / 3,3%,Apps,Exchange Online,Yes,No,Blue Yonder Nonprofit,exo_outlookaddins,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure that SPF records are published for all Exchange Domains,To address,1.06 / 5,5%,Apps,Exchange Online,No,No,Blue Yonder Nonprofit,exo_SPF_records_for_all_domains,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure additional storage providers are restricted in Outlook on the web,To address,1.44 / 5,5%,Apps,Exchange Online,Yes,No,Blue Yonder Nonprofit,exo_storageproviderrestricted,Budget-constrained tenant with licenses missing and security controls deferred.
128,Ensure Spam confidence level (SCL) is configured in mail transport rules with specific domains,Planned,1.44 / 3,3%,Apps,Exchange Online,Yes,No,Blue Yonder Nonprofit,exo_transportrulesallowlistdomains,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure internal phishing protection for Forms is enabled,Planned,3 / 6,6%,Apps,FORMS,No,No,Blue Yonder Nonprofit,forms_phishing_protection,Budget-constrained tenant with licenses missing and security controls deferred.
35,Ensure user consent to apps accessing company data on their behalf is not allowed,To address,0.14 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,IntegratedApps,Budget-constrained tenant with licenses missing and security controls deferred.
10,Ensure Microsoft Defender for Cloud Apps is enabled and configured,To address,0.36 / 5,5%,Apps,Microsoft Defender,Yes,No,Blue Yonder Nonprofit,mcas_mda_enabled,Budget-constrained tenant with licenses missing and security controls deferred.
82,Deploy a log collector to discover shadow IT activity,To address,0.15 / 1,1%,Apps,MCAS,Yes,Yes,Blue Yonder Nonprofit,McasFirewallLogUpload,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enable multi-factor authentication (MFA),Planned,2.48 / 7,7%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,MDA_Atlassian_EnableTwoFactorAuth,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enable Single Sing On (SSO),Planned,2.42 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,MDA_Atlassian_ForceSSO,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enable session timeout for web users,Planned,3.64 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,MDA_Atlassian_InactiveTimeoutMins,Budget-constrained tenant with licenses missing and security controls deferred.
10,Atlassian mobile app security - App access requirement,To address,1.61 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,MDA_Atlassian_mobile_access,Budget-constrained tenant with licenses missing and security controls deferred.
10,Atlassian mobile app security - App data protection,To address,0.19 / 6,6%,Apps,MDA_Atlassian,Yes,No,Blue Yonder Nonprofit,MDA_Atlassian_mobile_dataprotection,Budget-constrained tenant with licenses missing and security controls deferred.
