Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
10,Ensure Administrative accounts are separate and cloud-only,To address,0.2 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,aad_admin_accounts_separate_unassigned_cloud_only,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
10,Ensure the admin consent workflow is enabled,Completed,4.29 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,aad_admin_consent_workflow,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
10,Ensure custom banned passwords lists are used,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,aad_custom_banned_passwords,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
10,Ensure 'Microsoft Azure Management' is limited to administrative roles,Completed,2.81 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,aad_limited_administrative_roles,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
10,Ensure 'LinkedIn account connections' is disabled,Planned,2.4 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,aad_linkedin_connection_disables,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
10,Ensure that only organizationally managed/approved public groups exist,Planned,1.8 / 3,3%,Identity,Microsoft Entra ID,Yes,Yes,Contoso Startup,aad_managed_approved_public_groups_only,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
10,Ensure password protection is enabled for on-prem Active Directory,Planned,4.2 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,aad_password_protection,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
10,Ensure 'Phishing-resistant MFA strength' is required for Administrators,Completed,5.92 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,aad_phishing_MFA_strength,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
10,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,Completed,4.15 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,aad_sign_in_freq_session_timeout,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
10,Ensure third party integrated applications are not allowed,Completed,4.18 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,aad_third_party_apps,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
65,Locate accounts in built-in Operator Groups,Completed,7.5 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,AATP_AccountsInOperatorGroups,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
65,Accounts with non-default Primary Group ID,Planned,3.89 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,AATP_AccountsWithNonDefaultPrimaryGroup,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
65,Change password for accounts with leaked credentials,Planned,4.09 / 5,5%,Identity,Microsoft Entra ID,No,No,Contoso Startup,AATP_AccountWithLeakedCredentials,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
65,Change password for on-prem account with potentially leaked credentials,Completed,4.69 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,AATP_AdAccountWithPotentiallyLeakedCredentials,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
65,Prevent Certificate Enrollment with arbitrary Application Policies (ESC15),Planned,2.59 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,AATP_ADCSCertificateTemplateArbitraryAppPolicies,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
65,Prevent users to request a certificate valid for arbitrary users based on the certificate template (ESC1),Planned,2.94 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,AATP_ADCSCertificateTemplateEnrolementSuppliesSubject,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
65,Install Defender for Identity Sensor on ADCS servers,Planned,2.36 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,AATP_AdcsComputersWithNoMdiSensorInstalled,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
65,Edit insecure certificate enrollment IIS endpoints (ESC8),Completed,4.36 / 5,5%,Identity,Microsoft Intune,Yes,No,Contoso Startup,AATP_ADCSInsecureCertificateEnrollmentIisEndpoints,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
65,Edit misconfigured Certificate Authority ACL (ESC7),To address,1.64 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,AATP_ADCSMisconfiguredCertificateAuthorityAcl,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
65,Edit misconfigured certificate templates ACL (ESC4),Planned,3.88 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,AATP_ADCSMisconfiguredCertificateTemplateAcl,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
60,Edit overly permissive Certificate Template with privileged EKU (Any purpose EKU or No EKU) (ESC2),Planned,3.89 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,AATP_ADCSMisconfiguredCertificateTemplateEku,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
65,Edit misconfigured enrollment agent certificate template (ESC3),Planned,3.25 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Contoso Startup,AATP_ADCSMisconfiguredCertificateTemplateEnrollmentAgent,"Cloud-native team with decent defaults, thin process, and uneven device coverage."
