Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
10,Ensure Administrative accounts are separate and cloud-only,Planned,2.08 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Wide World Manufacturing,aad_admin_accounts_separate_unassigned_cloud_only,Manufacturing/OT adjacency with legacy auth scars and low endpoint enforcement.
10,Ensure the admin consent workflow is enabled,To address,0.36 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Wide World Manufacturing,aad_admin_consent_workflow,Manufacturing/OT adjacency with legacy auth scars and low endpoint enforcement.
10,Ensure custom banned passwords lists are used,Planned,3.47 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Wide World Manufacturing,aad_custom_banned_passwords,Manufacturing/OT adjacency with legacy auth scars and low endpoint enforcement.
10,Ensure 'Microsoft Azure Management' is limited to administrative roles,To address,0.94 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Wide World Manufacturing,aad_limited_administrative_roles,Manufacturing/OT adjacency with legacy auth scars and low endpoint enforcement.
10,Ensure 'LinkedIn account connections' is disabled,Planned,1.03 / 3,3%,Identity,Microsoft Entra ID,No,No,Wide World Manufacturing,aad_linkedin_connection_disables,Manufacturing/OT adjacency with legacy auth scars and low endpoint enforcement.
10,Ensure that only organizationally managed/approved public groups exist,To address,0.27 / 3,3%,Identity,Microsoft Entra ID,No,No,Wide World Manufacturing,aad_managed_approved_public_groups_only,Manufacturing/OT adjacency with legacy auth scars and low endpoint enforcement.
10,Ensure password protection is enabled for on-prem Active Directory,To address,0.15 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Wide World Manufacturing,aad_password_protection,Manufacturing/OT adjacency with legacy auth scars and low endpoint enforcement.
10,Ensure 'Phishing-resistant MFA strength' is required for Administrators,Planned,2.95 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Wide World Manufacturing,aad_phishing_MFA_strength,Manufacturing/OT adjacency with legacy auth scars and low endpoint enforcement.
10,Ensure Sign-in frequency is enabled and browser sessions are not persistent for Administrative users,Planned,2.96 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Wide World Manufacturing,aad_sign_in_freq_session_timeout,Manufacturing/OT adjacency with legacy auth scars and low endpoint enforcement.
10,Ensure third party integrated applications are not allowed,To address,0.16 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Wide World Manufacturing,aad_third_party_apps,Manufacturing/OT adjacency with legacy auth scars and low endpoint enforcement.
